actor,predicted_rating
Elena Bennett,2.136526224035072
Enrique Diaz,2.1349258087627905
Julianne Nicholson,2.1328836580078057
Guy Branum,2.1304871348079764
Ashley St. George,2.1294443259054847
Lasse Kolsrud,2.1287632232323963
Julien Boisselier,2.127336799871561
Keanu Reeves,2.1266761266419794
Felicia Farr,2.125926124527957
Wagner Moura,2.1233615867642284
Janis Paige,2.122734066485689
Caio Blat,2.1175013995461587
Viktor Grigoriev,2.1173791227569794
Serkan Keskin,2.115732600337282
Charles Boyer,2.113299231150405
Sally Blane,2.1124751818727923
John Ireland,2.109966894186008
Will &apos;Spank&apos; Horton,2.1070863575187606
Jessica Steen,2.1068612644686966
Philip Seymour Hoffman,2.1066109678584377
Andra Akers,2.1061801001580265
Rafael Spregelburd,2.1059981432968415
Caity Lotz,2.1052741436469655
Una Stubbs,2.104147601440214
Cyd Charisse,2.102127403017994
Peter Ressmann,2.1021010378800513
Kevin Hart,2.1014602646545932
Ted Olson,2.09827826318453
Fred Astaire,2.0968589367995447
John Seitz,2.091985036420875
Edward Norton,2.091511142742144
Teófilo Mendoza,2.090605899228498
Boris Gulyarin,2.088510882391546
Santiago Badariotti Merlo,2.088485547550544
Sara Botsford,2.0882771726897036
Raymond J. Barry,2.087535920938834
Greta Garbo,2.087244366723149
Tom Griffin,2.086676324663762
Lily Tomlin,2.0866452573371994
Michael Shannon,2.0863220082453284
Judd Apatow,2.0846686667618535
Jason Box,2.0843607291759034
Eugenia Alonso,2.0830582212402424
Vin Diesel,2.0827823363608977
Bagus Mara Goesti,2.0812773934726096
Bernard-Pierre Donnadieu,2.0802416592575037
Buster Keaton,2.0800459245541254
Santiago Cabrera,2.07994249930335
Paul Giamatti,2.078469904330588
Laraine Day,2.0771342959092842
Arcadi Gaydamak,2.076151434351516
Harry Ratchford,2.0759191385527695
Sofie Gråbøl,2.0746172317888902
Megi Kobaladze,2.0725491101068396
Michael Lonsdale,2.0721052396965582
Diane Ladd,2.071614207155412
Megan Neuringer,2.0699871153613056
Marianne Basler,2.0691136018956313
Jack Holt,2.068437359048079
Ariel Harush,2.068346385411942
Brandon Routh,2.0682993102081504
Dane Cook,2.0682272453373085
Johanna ter Steege,2.0681832828113746
Stanley Banks,2.068163106418763
Hélène de Fougerolles,2.0677566994396432
Jai West,2.0667966119143775
Víctor Montero,2.0660102075760416
Alan Marshal,2.0652392497886622
Chantal Akerman,2.0640179586078573
Kenneth Branagh,2.0635731202852274
Miki Esparbé,2.0629026209601826
Alice David,2.0626894050262305
Marcel Sabourin,2.061657907280933
Mathieu Amalric,2.059561665612648
Tegan West,2.059085731451829
James Urbaniak,2.058889065142466
Michelle Yeoh,2.058825987856591
Hildegun Riise,2.058657501375506
Hannah Spear,2.0579207502119163
George Benson,2.0574709668249493
Saplak Njoman,2.0563478071259005
Cheryl Ladd,2.0557698521700143
Liam Aiken,2.0547043497000668
Pamela Anderson,2.054415324388701
Jorge Sanz,2.053499684081651
Shirley Jones,2.053432276755435
Amanda Crew,2.049976867393085
Dale Dickey,2.049942897771635
Gary Cole,2.0493159596798374
Val Kilmer,2.048768014773003
Dick Van Dyke,2.048573567122138
Carly Pope,2.0483222451407634
Susan Kohner,2.04826516881905
Roger Sloman,2.047852190680062
Dan Payne,2.0469704438193053
Mélanie Thierry,2.0460361409103944
Gig Young,2.0460176018093024
Asuka Higuchi,2.045015926276898
Predrag &apos;Miki&apos; Manojlovic,2.04469672129541
Meg Ryan,2.043942299046228
Axel Naglich,2.0431317170512178
Vera Farmiga,2.043128871445875
Jeff Weiss,2.0426751470723725
Jordi Sánchez,2.042381945214417
Stefano Accorsi,2.042318313822499
Alba Rohrwacher,2.042045413592999
Elena Cotta,2.0419571488190593
Jeffrey J. Zarrillo,2.0407612014082575
Jérémie Renier,2.0398323164579253
John Travolta,2.0397024484621538
Wallace Beery,2.037921008982239
Marie Theisen,2.037379857733123
Parker Posey,2.037177697061414
Angela Lansbury,2.0368525356038205
Anthony O&apos;Donnell,2.035573349685479
AnnaSophia Robb,2.0350016499178536
Max Gail,2.0347156577539613
Chloë Grace Moretz,2.0336753272878627
Jill Clayburgh,2.0336425105860054
Mickey Rooney,2.033458243688603
Deborah Rush,2.033194839988125
Douangmany Soliphanh,2.0330964883831824
Ingrid Bergman,2.0326929022746207
Luke Macfarlane,2.0323764143867136
Blanca Lewin,2.032068000012168
Brady Corbet,2.0319724481587107
Margaret Leahy,2.0313523547379617
Arthur Dupont,2.030802404535381
Joe Sample,2.0301887737129105
Onur Saylak,2.0296242639023823
Naomi Snieckus,2.029514650575216
Erin Connor,2.029213372031103
Maribel Verdú,2.0290163547115703
Anne Parillaud,2.0283715247707765
Izzet Günay,2.0274653061170724
Marsha Hunt,2.0274145709966067
Jess Salgueiro,2.027302806460532
Fred MacMurray,2.02729515766481
Hiroshi Chô,2.026583773502274
Jennifer Esposito,2.0258287134665385
Robert Young,2.0257536545232258
Fionnula Flanagan,2.0249522742145887
Victor Andres Turgeon-Trelles,2.0242973563546505
Lubor Tokos,2.0241971253579383
Mads Ousdal,2.024057621721021
Benedict Cumberbatch,2.0230365953673792
Eric McCormack,2.023033308763727
Gcina Mhlophe,2.0226867248461757
Thomas Jay Ryan,2.022125897226668
Margaret Klenck,2.02150493736787
Roy Emerton,2.021428873445613
Joseph Gordon-Levitt,2.021345374359813
Verónica Forqué,2.021330570079434
Martin Sacks,2.021071668995795
Paul Robeson,2.0210129800664434
George Brent,2.0209621695204776
Gavin McInnes,2.0208607181085636
Hilary Swank,2.0201099733419947
Anna-Lisa Chacon,2.019660493583942
Samantha Weaver,2.0193772419796905
Elisabeth Welch,2.0192554029270573
Anna Faris,2.019125155085388
Tab Hunter,2.019114254417654
David Attenborough,2.0181394237938703
Gary McCleery,2.0167466530842018
Nathalie Douge,2.0151088936939408
Hugh Jackman,2.0148109529798113
Barry Chandler,2.014489082644159
Rajesh Tailang,2.0134929728118682
Michele Lee,2.0134162761138676
Jessica Green,2.011422409319188
Tat-Ming Cheung,2.011242230358357
Renji Ishibashi,2.011042774226364
David Morrissey,2.0103668110126494
Elisabeth Shue,2.009579521408393
Hüseyin Zan,2.0089399142619384
Charlotte Le Bon,2.0088348489721257
J.K. Simmons,2.00882233103313
Tevfik Kartal,2.0082304253278016
Loretta Young,2.00763727305363
Albert Babbitt,2.006829592395724
Mrs. Auguste Lumiere,2.006111226597649
Hannah Gross,2.0060788727119903
Thierry Frémont,2.0058497347513313
Junko Miyashita,2.0053385815982017
Maria Lundqvist,2.005153763896554
Isabelle Adjani,2.0049552766857945
Kirill Komarov,2.00446016857663
William Fountaine,2.004274403143957
David Tomlinson,2.004081261041169
Annette Bening,2.0030525487976205
Martin Freeman,2.002694355892224
Eric Kot,2.0023799227668544
Peter Wolf,2.00161310481718
Sophie Desmarais,2.0011311297112617
Arjun Kapoor,2.0010487366296843
Nancy Kelly,2.0002829750511992
Natacha Régnier,1.9998235314757988
Christopher D. Dusseault,1.9992042553677334
Vassili Schneider,1.999131660576103
Richard Dawkins,1.9989937110466607
Luke Spencer Roberts,1.998191360953698
Giovanna Mezzogiorno,1.9981627773802462
Meaghan Martin,1.9980852922714107
Sylvester Stallone,1.9974900384217353
Rachel Weisz,1.997082602487028
Jackky Bhagnani,1.996797075700081
Anna Galiena,1.9966167915897497
Stefania Sandrelli,1.9959373017092281
Ronny Dayag,1.9954899608235988
Rossif Sutherland,1.9954076988956917
Pier-Luc Funk,1.9950949702426644
Anna Catherine,1.9943824976846172
Winnie Lightner,1.9941954881225155
Ari Folman,1.9941163920236076
Emily Blunt,1.9933584751479223
María León,1.9926242035833517
Holly Beavon,1.9918301593344394
Thom Hoffman,1.9918267804480803
Alison Steadman,1.9912217123392422
Florence Hartigan,1.9900045705494471
Mayté Cordeiro,1.9899970964625566
Dustin Hoffman,1.988536148299928
Nina Mae McKinney,1.9883780129565891
Jon Foster,1.988309907253402
Reiko Kasahara,1.987572701470664
Henrik Mestad,1.9873874710967545
Kôjirô Hongô,1.9869725362348405
Dree Hemingway,1.9867636529323485
Irina Grishina,1.9865058996325529
Tygo Gernandt,1.9861291800638827
Kichijirô Ueda,1.985918654362934
Sophia Wekesa,1.9845636856658273
Harley Cross,1.9840043935294662
Ryan Potter,1.9835251283817052
Robert De Niro,1.9821244385156378
Denzel Washington,1.9821084547385683
Nick Robinson,1.981974937983195
Laurie Paton,1.9815487262274674
Charlotte Gabris,1.981229440803048
Diana Alonso,1.9796893662932717
Chingmy Yau,1.979236994539503
Howard Loeb Babeuf,1.9784776382896099
Meri Nenonen,1.9782122101069177
Katt Williams,1.977511809124412
Donald Burleson,1.9773781130302561
Santeri Helinheimo Mäntylä,1.9772923958552517
Gene Bervoets,1.9772855942762106
Evan Peters,1.9769707344639367
Chelsea Lopez,1.9767426180786472
Adam Driver,1.9761167752884818
Ewen Bremner,1.9756957479538872
Franco Branciaroli,1.9749425970109986
Chris Patton,1.9747884555949595
Jan Potmesil,1.974587618129606
James Randall,1.974344143663992
Tom Hollander,1.9742700822601602
Brian Wimmer,1.9741233358290156
Danny DeVito,1.97370771760229
Celeste M Cooper,1.9736359132029087
Constance Cummings,1.973478702875913
JD Cullum,1.973204399823606
Lloyd Bridges,1.9725247938471593
Tugrul Meteer,1.9714215670180466
Jeffrey Ross,1.9712057951696078
Michaela Kuklová,1.9711464764494149
Kim Basinger,1.9704232607212702
Tom Bateman,1.9700252392862303
Honey,1.9695199875477813
Sabrina Ouazani,1.9694658612804161
Sean Patrick Leonard,1.9690940013145004
Anne Le Ny,1.9685763228627469
Marcel Koehler,1.968542050414744
Red Buttons,1.968220140584774
Aksel Hennie,1.9679708141565901
Ara Celi,1.9678969346444428
Ciarra Carter,1.967557755868446
Emma Dante,1.9675093044059537
Tatyana Kosmacheva,1.9674409689536212
Merritt Patterson,1.9667599182168685
Robert Reed,1.9655536734741035
Madeleine Koehler,1.965551239162094
Ziyi Zhang,1.9654247364537951
Patty McCormack,1.9651013949937561
Robert Townsend,1.9649497252837236
Markham Anderson,1.9645631455554196
Mark Eydelshteyn,1.9639121797472234
Andre Braugher,1.9637942072063528
Ron Ben-Yishai,1.963679614313035
Ken Watanabe,1.963349367255075
Daniel L. Haynes,1.9629487367938758
Anna Getty,1.9627405561922726
Sandra Vacey,1.9622504492142652
Catherine Keener,1.9615848570180516
Lindsay Wagner,1.960952611825404
Beulah Koale,1.960837926155615
Obba Babatundé,1.9608114479871184
Shelley Calene-Black,1.9604560019720108
Tyrese Gibson,1.9604346220601199
Virginia Bradford,1.9603734214978008
Michael B. Woods,1.9601376101370998
Kevin Epps,1.958610821216013
Victor Varconi,1.9583750441305345
Jacques Lussier,1.9580975928088398
Kyrre Hellum,1.9575472765060613
Donald Gray,1.9574200292121524
Moira Lister,1.9572202834688384
Edward Burns,1.9567210298263276
Sarah Jones,1.9563471261559935
Laura Linney,1.9556573885602164
Eric Carlesi,1.9556268167668749
Pierre Larquey,1.9554221154431874
Jacqueline Fernandez,1.953682168325018
Tere Carrubba,1.9536670142060304
Gabriel Garko,1.9532130374504986
Donna McDaniel,1.953082724653474
Fem van der Elzen,1.9525431008249499
Siri Baruc,1.9524252814727094
Aleksey Ilin,1.952312282510918
Metin Akdülger,1.9510826109751964
Vanessa Marano,1.9507971161830029
Joan Allen,1.9507113277305281
Nicolas Cage,1.9506911681119572
Alice Morel-Michaud,1.950447341020895
Saif Ali Khan,1.9503465896275851
Jon Cryer,1.9494851147936811
John Krasinski,1.9488987768550587
Michael Andrew,1.948493658836816
Vincent Price,1.9483069189829827
John Cusack,1.9476094958038892
Allan Corduner,1.9469773363866194
Serdar Kebapçilar,1.9468434889468698
Olympia Dukakis,1.946393057641094
Giacinto Prandelli,1.946291933892101
Poetoe Aloes Goesti,1.9460282389639347
Christopher Fairbank,1.945852075519847
Milena Toscano,1.9440173550649598
Mickey Sumner,1.943903003505898
Édouard Tremblay-Grenier,1.9438803476133966
Stacy Keach,1.9435784106379226
Jessica Bell,1.9432323617285725
Pegah Ahangarani,1.9429935357714319
Lee Darel,1.9429855142976884
Eduardo Moscovis,1.9411836732999697
John Malkovich,1.9411485572769667
Guillaume Canet,1.9402164862256792
Jeff East,1.9398174778789676
Vanessa Gerbelli,1.938964380089408
Michael Shanks,1.9386350421957967
Jesse Hutch,1.93851556978759
Odette Joyeux,1.9383311083728894
A. Belle,1.9369837716890244
Seo Young-hwa,1.936271066050349
Kim Min-hee,1.9361016084977407
Ann Magnuson,1.9347188567682974
Glynnis O&apos;Connor,1.9340697457641471
Philippe Allier,1.9333006411706393
Kirstie Alley,1.9325581422528493
Jason Lewis,1.9324119711547105
Phoebe Fox,1.93056891945714
Margarita Abroskina,1.9300401777042764
Billy Zane,1.9299178823208056
Amber Tamblyn,1.9296039843569721
Max Elliott Slade,1.9295402007804294
Elayne Heilveil,1.9286678020900057
Lauren Gottlieb,1.92853136551465
Hélène Zimmer,1.9282953968044032
Mark Steger,1.9277641147568338
Phyllis Haver,1.927645363738346
Cynthia Khan,1.9269801861357359
Ryan Kelley,1.9258880945127854
Anouk Aimée,1.9256056776629273
Gustavo Bocardo,1.9242158539475558
Lyle Talbot,1.9239527001891883
Grace Huang,1.9238467457503616
Shin Min-a,1.9214026053746318
Antoine Olivier Pilon,1.9203156334194147
Michael Parks,1.9201512115224466
Gage Clarke,1.9200336718675866
Kay Francis,1.918645096865339
Oh Ah-yeon,1.9180069976715644
Paul Gunning,1.9177193300102957
Sheila Chan,1.9174948378467744
Barbara Mandrell,1.9165662678135862
Bibi Andersson,1.914808596591319
Arshad Warsi,1.9142607416018342
The Black Angels of Hell,1.914070895966146
Joe Pesci,1.914054442208978
Patrick Bergin,1.9135782142430942
Dilan Çiçek Deniz,1.9132376771191306
Xavier Tort,1.9130801025028572
Daniel Valenzuela,1.9120900376825039
Klaus Nomi,1.9120309668088353
Zethu Dlomo-Mphahlele,1.9115359719423215
Brett Cullen,1.911470082888388
Richard Ney,1.9111310797467922
M. Emmet Walsh,1.9110452325378187
Noomi Rapace,1.910686440508259
Sima Eliyahu,1.9105489610573003
James Morrison,1.9103555643909456
Alex Cord,1.9101462238345894
Joe Cortese,1.909953536137685
Corrado Aprile,1.9098439566131749
Harold Perrineau,1.909557524859648
Werner De Smedt,1.9095473260164795
Connor Price,1.9087949005761848
Zoe McLellan,1.9080487560945287
Serena Grandi,1.9079417110623074
Tannishtha Chatterjee,1.9075899114204995
François Périer,1.907338099860567
Jack Taylor,1.906839231446479
David Bowie,1.9062279602320182
Jerry Calà,1.9060999406453503
William Powell,1.9059835979940474
Alexandros Vardaxoglou,1.9048942328152063
Melissa Gilbert,1.9047044981990509
Damian Chapa,1.9042166874888566
Donald Houston,1.9041057443559775
Emma Roberts,1.9040193546386985
Betty Gofman,1.9035928663950645
Marco Leonardi,1.9035157246326033
Lynn Redgrave,1.9034342388565157
Robert Culp,1.9033753401966351
Sam J. Jones,1.9031964950635691
Tom McCamus,1.9031626105500814
Stéphane Asensio,1.9030864263514393
Edith Scob,1.9019826381518348
Jennifer Aniston,1.9011925651031238
Melih Gülgen,1.9006227424311783
Sean McClory,1.9004763332031656
Greta Gerwig,1.900233384998239
Paul Scofield,1.900161129988051
Eva Dahlbeck,1.8994718916614985
Luke Hemsworth,1.8989237088569726
Lauren Sweetser,1.8974101069890832
Kim Hye-yoon,1.896855346453475
Kim Hae-sook,1.8967217023382887
Yoo Je-Yoon,1.8958347722226407
Kelly Moran,1.8950789756842301
Patrik Baboumian,1.8949522416924443
Jo Jung-suk,1.8943512187534428
Jason London,1.8937521248928633
Dolores Palumbo,1.8936729256657812
Anurag Arora,1.8931000594309064
Becca Tobin,1.8928258771746775
Christopher Backus,1.8926699350055916
Bobby Slayton,1.8923437116587032
Gowan Didi,1.8922647949632887
Louis-Do de Lencquesaing,1.8921823706017709
Lou Criscuolo,1.8910432963326553
Debora Caprioglio,1.8906372094099249
Chantal Ladesou,1.890634067911617
Boris Karloff,1.8905354237895378
Bijon Bhattacharya,1.8898100047465378
Anthony Chau-Sang Wong,1.887974283758512
Jeong Jae-yeong,1.8871764325455034
Oksana Bulgakova,1.8871000224313836
James Fox,1.8863878746321738
Andy French,1.8862827526997796
Wi Ha-joon,1.8857796152331683
Chang Chen,1.8857502071340828
Kevin Kindlin,1.8857327598816802
Michal Yannai,1.8843231503581208
Colin Hanks,1.883955963592444
Mira,1.883856368597159
Jason O&apos;Malley,1.8837744968302714
Meredith Edwards,1.8835000430406084
Zenith Virago,1.88347852312875
James Wilks,1.8827408501377485
Jean-François Vlerick,1.8826139586140689
Isabella Pullen,1.881705182420622
Jonathan Scarfe,1.8812984716346608
Tracey Corder,1.8807138657077582
Virginia Mayo,1.8805371482237043
Rémi Goulet,1.8803925421063474
Déborah Révy,1.8793782822747804
Christopher Eccleston,1.8791719191181635
Jacki Weaver,1.8791492749960435
Javier Bódalo,1.8789977500775474
Iwan Rheon,1.8789259949015606
Julie Bowen,1.8787120533037918
Greg Timmermans,1.8777456404629589
Duncan Stuart,1.8775875551407724
Manel Solás,1.8773651204123218
Steve Pullen,1.877134718920893
Olivia de Havilland,1.8756375521205417
Sylvie Bréal,1.8735610479683213
Alexia Kaltsiki,1.8735013645568428
Serzh Sargsyan,1.873440274849496
Eugenie Besserer,1.8728398946182443
Gabrielle Union,1.872376572995539
Jeremy Herrera,1.8708718072078792
Gino Cervi,1.8701828052061433
Anne Céline Auche,1.8698716393063177
Vladislav Arslanov,1.8693565916692516
Miou-Miou,1.8692792111323215
Tullio Carminati,1.8691947570451366
Chit-Man Chan,1.8686122250086517
Arik Einstein,1.8686002155666666
Bob Odenkirk,1.8685753121691306
Harman Baweja,1.8684781361596807
Han Chen,1.8682923487498129
Hans Magnus Enzensberger,1.8681711373724064
David Garrett,1.8679972695357592
Valérie Valois,1.867930201312159
AJ Cedeno,1.867452928833247
Chris Potter,1.8669401268556949
Filiz Taçbas,1.8658149289975057
Daniel MacPherson,1.8649815501792535
Jehanne d&apos;Alcy,1.8647318779186757
Peter Marshall,1.8642192402128308
Arnold Schwarzenegger,1.8642030028667904
Peter Richardson,1.8636396480679025
Gypsy Rose Lee,1.8634387639262218
Bryan Adams,1.8630835611179313
Hobart Bosworth,1.8629871742515691
Michele Placido,1.862726774923755
Uri Zohar,1.862459335789015
Jimmy O. Yang,1.8623711906149782
Maggie Cheung,1.8617683457723337
Freddie Stuart,1.8616029621376409
Karim Abdel Aziz,1.8615224235382868
Simone Spoladore,1.8606493140222378
Nadja Engel,1.8606282199637156
Ethan Hawke,1.8603374824854935
Chip Kidd,1.860258650676345
Catherine Bell,1.8594468901878833
Tracy Letts,1.859146869652335
Miriam Horwitz,1.8583961565837925
Maria Kallimani,1.8583546142456469
Anna Paquin,1.8583366329051272
Jewel Staite,1.8572233895024137
Linda Darnell,1.8562777873151097
Valeriy Osipyan,1.855598726026004
Catherine Disher,1.855263596735083
Bebe Daniels,1.854813254730626
Jake Manley,1.8540011185681406
Jason Spisak,1.8532479310655727
Victor Wong,1.8531653528086838
Abhi Bhattacharya,1.852847957104575
Ken Swofford,1.8521869804227458
Zuzana Kocúriková,1.8520388609563065
Madhavi Mukherjee,1.8510251091360728
Lyndon B. Johnson,1.850743154884495
Travis Milne,1.8505779387968353
Bryan Genesse,1.850227577602512
Telmo Churro,1.8502135056151394
Misato Fukuen,1.8499804573122722
Harriet Andersson,1.8495439776999671
Clive Owen,1.8491364975263445
Wallace Shawn,1.8488349631024708
Cory W. Ahre,1.8487135779132813
Angela Schanelec,1.8486503477199736
Yui Horie,1.8480713763497498
Jonathan Bennett,1.8479875903472593
Elliot Ruiz,1.8472104686580593
Bill Murray,1.8470454347566154
Tony Ka Fai Leung,1.8469521971626068
Koen De Bouw,1.8467378265876209
Louis de Funès,1.8459341047555096
Andrew W. Walker,1.84581349456287
Caroline Marohasy,1.8448390172822526
Rundfunk-Sinfonieorchester Berlin,1.8444546633395784
Ian McShane,1.8444419453451333
Wim Brown,1.8442931039475599
Vuyo Dabula,1.8438706868734498
Jessica Blake,1.843790447799549
Terrie Godfrey,1.843133726112003
William Hurt,1.842147581533383
Khaled El-Sawi,1.8419044807177285
Sumiko Braun,1.8414703528837548
Angelica Domröse,1.8409085900712492
Andrew Dominik,1.8407957334705891
Nilli Karim,1.8405714848074515
Nora Miao,1.8398087831044039
Jirka Zett,1.8396050211351898
Earl Cave,1.8396009201701644
Jayson Lamb,1.8394488421760276
Luke Perry,1.8393956379802374
Si Yeong,1.8393334572090063
Jennifer Saunders,1.8391054802942917
Will Smith,1.838975269027617
Charisse Davidson,1.8383379995730464
Gina McKee,1.8375847015306699
Anne Bellec,1.8370446631966475
Stephanie Bennett,1.8369284921355864
Rosanna Arquette,1.8359316535353414
Rachel Boston,1.8350807375054168
Brooke Shields,1.8349029620461799
Nick Cave,1.8348857218031203
Marie Liljedahl,1.8347952057367352
Angela Merkel,1.8343720543825
Sabine Azéma,1.8338323127654366
Angelo Costabile,1.8334577372481673
Bella Thorne,1.8333964795624158
Cory Booker,1.8324607952123306
Hal Smith,1.832128230638675
Harrison Sloan Gilbertson,1.830071758150891
Elena Tilena,1.8300084239403365
Gilbert Roland,1.8294850641887674
Matthew Knoll,1.8293968930391196
Sabrina Kruschwitz,1.8293792488132787
Paulette Goddard,1.8281875607225055
Solly Marx,1.8269562181825592
Alex Moffat,1.82665240746976
Luis Margani,1.8265648841742108
Adriana Aizemberg,1.8264865115693403
Carole Lombard,1.8254303442603401
Cedric The Entertainer,1.825246733010431
Tom Segura,1.8247943032499994
Ann-Margret,1.8246477662937932
Sandro Panseri,1.8240317212155104
Eduardo De Filippo,1.8239129408685806
Ken Foree,1.8230006031462074
Julia Kaufmann,1.8228293580320418
William Friedkin,1.8227270803790627
Amber Riley,1.8216982582286139
Yoon Jung-hee,1.821171425367818
Lynn Lowry,1.8210114245659124
Alan Young,1.8209468736666097
Kian Alipanah,1.8205082344134937
Murilo Benício,1.8204939374578397
Willem Dafoe,1.8203878075058135
Ling Tai,1.8202090826929038
Penélope Cruz,1.8199345827232454
Elliott Gould,1.819878559031336
Joe Cummings,1.8190042467298102
Katelyn Mager,1.818779980385333
Chris Payne Gilbert,1.818226080523068
Eric Mehalacopoulos,1.8177147913174019
Zhijun Ge,1.8177098747315266
A.J. Clarke,1.8171321815550274
Martin Lawrence,1.8162956362979037
Mélanie Doutey,1.8155992192388481
